depth_ft,depth,wob_klbs,rpm,rop_fph,spp_psi,torque_ftlbs,formation_type,bha_state,is_anomaly,anomaly_type,recommended_solution,forecast_risk,proactive_alert
1000.0,1000.0,15.238422793445391,109.65433924707204,119.7752127602656,702.4712033410761,4201.039941045859,Clay & Soil,Rotating (Rotary),True,Drill String Washout Detected,Stop drilling immediately. Circulate bottoms up and pull out of hole for pipe inspection.,6.682365791084919,System operating in nominal envelope
1011.5,1011.5,14.887614260664394,113.94803203876847,120.52085764184253,1300.1058682288228,3938.0293810565863,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,6.8993474366102,System operating in nominal envelope
1023.0,1023.0,14.777559507450018,108.83567561607435,118.34407888078749,1287.8890567891508,3747.4470077051706,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,9.607121713482755,System operating in nominal envelope
1034.5,1034.5,14.730101985964334,107.46792219916394,118.64418844671812,1290.616183314882,3880.1408220312,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,7.862798621119409,System operating in nominal envelope
1046.0,1046.0,15.703511409082346,109.43555924878366,119.47739258445583,1285.3682051171982,3811.9332394198236,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,7.474629812331464,System operating in nominal envelope
1057.5,1057.5,15.053242843060735,107.12251605644424,119.71997400019845,1293.9924504586418,3920.7156929307175,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,11.452376445533316,System operating in nominal envelope
1069.0,1069.0,14.711180826129889,114.63069546127234,120.78964311561906,1285.1825693815517,3860.3821573778214,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,11.509717452185445,System operating in nominal envelope
1080.5,1080.5,14.41399504801391,110.52215898751189,120.18898678643436,1237.4482469030056,3824.6794415454074,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,13.245170697999292,System operating in nominal envelope
1092.0,1092.0,15.354463958397798,110.42842070297493,118.58061888924728,1284.468792940294,3960.2543121822137,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,9.17708566972976,System operating in nominal envelope
1103.5,1103.5,14.65447477997054,108.84840307260053,118.30748145085178,1314.708055655473,4045.3576142230368,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,5.730850910261502,System operating in nominal envelope
1115.0,1115.0,15.155560305309502,109.03729429895921,120.98975954159611,1272.276949992351,4080.7412701269946,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,7.736663849214577,System operating in nominal envelope
1126.5,1126.5,15.447014457175776,107.9019561919434,120.93652332203746,1282.3896906037196,4043.7267729452706,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,14.80005463196817,System operating in nominal envelope
1138.0,1138.0,14.769996365834261,109.53585255834045,120.78002478949843,1263.3816256498492,3842.1007256213516,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,10.962585752327021,System operating in nominal envelope
1149.5,1149.5,15.650995213713994,109.81997469604917,119.38068503557908,1317.0483224473007,4047.735955306288,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,12.097370848010202,System operating in nominal envelope
1161.0,1161.0,15.17346989064404,113.84509141616492,117.48504470007384,1291.9843490222513,4206.5329625674485,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,5.073578296254145,System operating in nominal envelope
1172.5,1172.5,15.394513202100107,110.21761767059543,118.09193384198315,1286.3248162383534,4012.1124225026865,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,10.182057321825209,System operating in nominal envelope
1184.0,1184.0,14.894557493837993,110.89278142877937,119.22384614122254,1331.667351118538,3931.5883311878783,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,5.3752865753180314,System operating in nominal envelope
1195.5,1195.5,14.759156619079423,112.28850529425519,120.49273673578882,1303.8587777414923,3930.071653102751,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,10.69230212091448,System operating in nominal envelope
1207.0,1207.0,15.04659722368706,112.42161247633223,119.62357617299313,1279.0086726530662,3956.7485966490945,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,14.207708496360754,System operating in nominal envelope
1218.5,1218.5,14.297512824896582,110.74030069266144,119.77479635195986,1304.0063818044973,4000.674976276805,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,14.684191305004079,System operating in nominal envelope
1230.0,1230.0,14.320622043815801,108.9483866930866,119.84516571680064,1289.832137086831,3894.0994004627464,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,10.40552675388924,System operating in nominal envelope
1241.5,1241.5,15.193944411270978,114.71546475302632,119.92853192086449,1303.684445320796,4033.996651575405,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,9.58204805252216,System operating in nominal envelope
1253.0,1253.0,14.07898981665646,109.93371531137696,119.81533347381013,1301.7457552485257,4325.147958848058,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,14.45017094248494,System operating in nominal envelope
1264.5,1264.5,15.144742724320134,109.91322057573689,120.7218557113793,1271.9430490595118,4150.852611515983,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,11.73609831996695,System operating in nominal envelope
1276.0,1276.0,15.379695334580662,107.72653136301315,120.56338281004825,1337.1498577734023,3814.955659711419,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,5.648992795384094,System operating in nominal envelope
1287.5,1287.5,16.05141870038879,107.52365918717328,119.51666337204846,1288.8425567599306,4013.1539801915687,Clay & Soil,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,9.657255776674976,System operating in nominal envelope
