depth_ft,depth,wob_klbs,rpm,rop_fph,spp_psi,torque_ftlbs,formation_type,bha_state,is_anomaly,anomaly_type,recommended_solution,forecast_risk,proactive_alert
1000.0,1000.0,16.29802849180674,109.65433924707204,84.719015950332,448.8321522086569,5037.592657599652,Alluvial Gravel,Rotating (Rotary),True,Drill String Washout Detected,Stop drilling immediately. Circulate bottoms up and pull out of hole for pipe inspection.,6.682365791084919,System operating in nominal envelope
1011.5,1011.5,15.859517825830492,113.94803203876847,85.65107205230316,1250.1058682288228,4726.761995794148,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,6.8993474366102,System operating in nominal envelope
1023.0,1023.0,15.721949384312522,108.83567561607435,82.93009860098437,1237.8890567891508,4501.5282818333835,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,9.607121713482755,System operating in nominal envelope
1034.5,1034.5,15.662627482455417,107.46792219916394,83.30523555839765,1240.616183314882,4658.348244218691,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,7.862798621119409,System operating in nominal envelope
1046.0,1046.0,16.879389261352934,109.43555924878366,84.34674073056978,1235.3682051171982,4577.739282950701,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,7.474629812331464,System operating in nominal envelope
1057.5,1057.5,16.06655355382592,107.12251605644424,84.64996750024807,1243.9924504586418,4706.300364372666,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,11.452376445533316,System operating in nominal envelope
1069.0,1069.0,15.638976032662361,114.63069546127234,85.98705389452383,1235.1825693815517,4634.997095082879,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,11.509717452185445,System operating in nominal envelope
1080.5,1080.5,15.267493810017386,110.52215898751189,85.23623348304295,1187.4482469030056,4592.802976371845,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,13.245170697999292,System operating in nominal envelope
1092.0,1092.0,16.443079947997248,110.42842070297493,83.22577361155909,1234.468792940294,4753.027823488071,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,9.17708566972976,System operating in nominal envelope
1103.5,1103.5,15.568093474963174,108.84840307260053,82.88435181356472,1264.708055655473,4853.60445317268,Alluvial Gravel,Rotating (Rotary),False,Nominal,Continue drilling. Optimize WOB for maximum ROP.,5.730850910261502,System operating in nominal envelope
